Timestamp;AH3;LSParking
6/03/2018 5:30;3,951095;10,21821
6/03/2018 5:45;7,695834;22,0565
6/03/2018 6:00;13,23123;39,49229
6/03/2018 6:15;20,66505;61,05621
6/03/2018 6:30;29,50182;88,79082
6/03/2018 6:45;41,00595;119,8866
6/03/2018 7:00;53,21318;151,6409
6/03/2018 7:15;66,19771;188,46
6/03/2018 7:30;79,28268;220,8787
6/03/2018 7:45;96,56228;236,0587
6/03/2018 8:00;112,4587;269,6871
6/03/2018 8:15;99,4903;336,577
6/03/2018 8:30;55,64023;410,9447
6/03/2018 8:45;86,56697;354,5858
6/03/2018 9:00;80,33443;193,3364
6/03/2018 9:15;112,1051;241,0007
6/03/2018 9:30;138,4166;404,3961
6/03/2018 9:45;112,3869;278,5057
6/03/2018 10:00;113,6925;305,8551
6/03/2018 10:15;100,156;216,8456
6/03/2018 10:30;83,07178;204,7273
6/03/2018 10:45;108,6687;290,1225
6/03/2018 11:00;110,7253;270,6631
6/03/2018 11:15;110,4107;406,6076
6/03/2018 11:30;198,0713;470,687
6/03/2018 11:45;128,1974;264,6565
6/03/2018 12:00;160,4924;462,096
6/03/2018 12:15;146,149;485,5311
6/03/2018 12:30;199,0648;485,7439
6/03/2018 12:45;203,9702;485,4857
6/03/2018 13:00;207,8636;485,3778
6/03/2018 13:15;207,8491;485,274
6/03/2018 13:30;207,8465;485,1998
6/03/2018 13:45;207,8171;485,095
6/03/2018 14:00;207,8693;485,058
6/03/2018 14:15;207,8452;484,9035
6/03/2018 14:30;207,404;484,6759
6/03/2018 14:45;205,8991;484,2971
6/03/2018 15:00;200,2565;481,9567
6/03/2018 15:15;194,4351;474,8229
6/03/2018 15:30;182,7141;453,1764
6/03/2018 15:45;172,9788;429,4525
6/03/2018 16:00;163,8824;403,8462
6/03/2018 16:15;154,4657;378,0619
6/03/2018 16:30;130,3513;328,841
6/03/2018 16:45;133,1014;321,3242
6/03/2018 17:00;118,1815;289,6421
6/03/2018 17:15;100,1446;233,533
6/03/2018 17:30;91,15211;228,1645
6/03/2018 17:45;77,71513;192,8602
6/03/2018 18:00;61,93935;160,8403
6/03/2018 18:15;55,01788;134,6237
6/03/2018 18:30;31,32738;69,18385
6/03/2018 18:45;14,86948;36,76161
6/03/2018 19:00;21,61814;55,31919
6/03/2018 19:15;20,86359;47,02157
6/03/2018 19:30;8,939047;19,25895
6/03/2018 19:45;2,872433;7,553058
6/03/2018 20:00;0,7339845;2,716374
6/03/2018 20:15;-0,3131286;-0,06630162
6/03/2018 20:30;-0,3649101;-0,1947168
6/03/2018 20:45;-0,366343;-0,2053929
6/03/2018 21:00;-0,3739938;-0,198472
6/03/2018 21:15;-0,3743395;-0,2018689
6/03/2018 21:30;-0,3752589;-0,2103819
6/03/2018 21:45;-0,3745923;-0,2148307
6/03/2018 22:00;-0,3735191;-0,2064335
6/03/2018 22:15;-0,3744821;-0,2061084
6/03/2018 22:30;-0,3774814;-0,2035911
6/03/2018 22:45;-0,3765358;-0,2038216
6/03/2018 23:00;-0,3774207;-0,2067284
6/03/2018 23:15;-0,3783466;-0,1928589
6/03/2018 23:30;-0,375651;-0,1977421
6/03/2018 23:45;-0,3666599;-0,2063127
6/04/2018 0:00;-0,3722467;-0,2095785
6/04/2018 0:15;-0,3679816;-0,2060643
6/04/2018 0:30;-0,3726077;-0,2095621
6/04/2018 0:45;-0,3699839;-0,2073604
6/04/2018 1:00;-0,3610989;-0,2063313
6/04/2018 1:15;-0,3648062;-0,1998802
6/04/2018 1:30;-0,3712766;-0,19347
6/04/2018 1:45;-0,3672482;-0,1903258
6/04/2018 2:00;-0,3716896;-0,2009912
6/04/2018 2:15;-0,3687632;-0,2014173
6/04/2018 2:30;-0,3713009;-0,2103251
6/04/2018 2:45;-0,378416;-0,1876986
6/04/2018 3:00;-0,3719273;-0,2152804
6/04/2018 3:15;-0,3637159;-0,1975412
6/04/2018 3:30;-0,3750122;-0,2067968
6/04/2018 3:45;-0,371985;-0,2066528
6/04/2018 4:00;-0,3693925;-0,2088954
6/04/2018 4:15;-0,3661731;-0,2050886
6/04/2018 4:30;-0,3687145;-0,1852516
6/04/2018 4:45;-0,3689916;-0,2135859
6/04/2018 5:00;-0,3663653;-0,1964634
6/04/2018 5:15;-0,3621107;-0,1759578
6/04/2018 5:30;-0,3572376;-0,1681711
6/04/2018 5:45;-0,0970028;1,250281
6/04/2018 6:00;2,449448;8,287673
6/04/2018 6:15;7,646201;18,24339
6/04/2018 6:30;8,254386;20,9994
6/04/2018 6:45;7,306405;22,32882
6/04/2018 7:00;16,07401;44,26666
6/04/2018 7:15;14,34406;33,65996
6/04/2018 7:30;14,24889;34,11041
6/04/2018 7:45;15,28606;36,4277
6/04/2018 8:00;17,8297;47,25371
6/04/2018 8:15;14,73756;39,98246
6/04/2018 8:30;15,81851;37,31447
6/04/2018 8:45;10,29628;26,54404
6/04/2018 9:00;11,3202;24,67294
6/04/2018 9:15;21,13956;65,54428
6/04/2018 9:30;21,52496;56,332
6/04/2018 9:45;20,37129;57,14554
6/04/2018 10:00;25,65041;60,71507
6/04/2018 10:15;22,81796;56,08298
6/04/2018 10:30;29,86372;69,61032
6/04/2018 10:45;30,4891;89,42625
6/04/2018 11:00;49,73893;130,6105
6/04/2018 11:15;72,59908;210,1228
6/04/2018 11:30;81,05401;217,5114
6/04/2018 11:45;81,5989;192,2514
6/04/2018 12:00;81,0183;225,8296
6/04/2018 12:15;96,30556;208,2274
6/04/2018 12:30;74,80248;155,5768
6/04/2018 12:45;64,90845;182,7995
6/04/2018 13:00;74,58805;182,3976
6/04/2018 13:15;80,60119;202,3177
6/04/2018 13:30;71,12189;187,6474
6/04/2018 13:45;62,23684;142,8042
6/04/2018 14:00;46,16395;126,1524
6/04/2018 14:15;42,62035;90,63848
6/04/2018 14:30;28,56755;86,70334
6/04/2018 14:45;42,7031;140,2698
6/04/2018 15:00;46,25901;108,9429
6/04/2018 15:15;35,12951;97,56499
